name,ring,quadrant,isNew,moved,description
RJDcGqUtECqUYD,Hold,data management,true,0,uOceYNVwMWrBLNFVjExmhkSxSeodnnggLHyGSqZpX
aaok,Assess,language,true,3,LKqLWsFoooUgYBpIfDRSRBnZiUarJrAdKWCOmFSGWRBiKukjGvnMGpODnXiyiQxaDFOBKhsWblYoNYHBCOmXNAveIEGiFSvNXOzr
EJfcs,Trial,datastore,true,-2,kOSqlTRpCZqcAUkqbQUjJoefLfKPwYY
vHcZeRVB,Assess,datastore,true,-2,xRZQYvMqRRfcSQGMwEbDXvzVgLIOoNNEfogREkpNZsgG
KQeWrSx,Hold,data management,false,2,qostWQLwJqqzCPUdWhqKrIXZHgiNVBLoodjkzWXrShMwCExNGXguNaTXcMzIbHOrMKlpYGMnoopEtJzRylWBJ
ppTDmwYevG,Assess,language,false,0,EUiUCeutUgxfAtXsVFLqDoaEeRMVLUOmQr
ggycrVe,Hold,data management,false,2,QoMYuqgosnbzcvjEescwcjgWAxRHpJcqcv
IVRwVocdnyPijOD,Hold,infrastructure,false,0,NwckAIxQKQoRGSEAnTKaFWWguT
vaOiRtY,Adopt,data management,true,2,kJyPHYKcFReATXEKjQNkUdhhAxLNUTCGBHvNehGwxhkgcyrGh
BacsRMVCtnTcZKe,Hold,infrastructure,false,2,QfggZiLLdBKODltRGugqrkDbPZvaoqckzNkSPvpNAxD
aGLXrZSIIY,Adopt,data management,true,2,ZaSZXBKbjoXKTdfbqsBvEGilJDWQCKEJFsIHkjXEObLtOQwWofDuwdslWCsmuPkyoWvbkBwXyzCUxIAXIguBHbKCMAZhAyhDwYrgvNbEQOBKfFQ
Zue,Trial,data management,false,1,WuswCiTJoTUEAtxFfbHMkRVIotAXqNfnqSfOzDIFrxwYWVQyZeKTnBNThyAakiIFqWyj
MEZkfzwER,Trial,infrastructure,true,-2,SvfjZITyPWyHFYKSXuYCtBiuLqNeUJPzMQYcgShhLeEAvpdAaTOOnKK
vgpaRoV,Hold,datastore,false,1,kfDEgwGRcwNWRIDEsPeFzbHGmsAvBoVMIWaWMFeocdSsfSrNAKUJrojLufMlharJmqLXyJakzoV
bADvmlkueQcUGMG,Hold,datastore,true,1,RkBLCAaIrLKHcTMDMsCegJdWvzJbBpYrsPQhAFdpNCTzIHIMxFugPMsYGNmekAmFVxWe
veiRZKQAo,Assess,data management,true,2,yUOPlRCtkmukckKhxaajAoWPGWhddaQTsYeHYevGsinmZhSQdwgnaqPCQIgtujuKZkEqHSiCTraWLtfGzRKXViykXCbOhLP
GmmwmwasjZ,Adopt,language,false,3,smGjqzRAYBWikutmKUWPHWWCvIXUyFqMOXaryNLPdVrlkHVycGwmeMEvVtwJLTPaykUpVpvDJ
yqgTCexSqTjUNT,Assess,data management,true,1,TPsdVeGjpGjYBWpCgRLKmbWTjvMjPXBoVjHGHjTCJTNKzPrimTOOedEWRIIlHCVrxDUerTliHphopckuZICySmkNKzfiABqgcORFcVvVDqXGVtfhMFtdWgMZgkxJT
SrargUIlivtnMtw,Trial,language,false,3,ElgxvWhpReuCQaYPvlzeyWFkkRxjKwHeFGjmHEgYNyUlLYfsoqNAgvJqHLlVNMyTGRdlafjtlXmBNLdNbJekRPtVyHzCsxHkiYjeGV
RzYdeTTlKeLln,Trial,infrastructure,false,-3,bHwBcRDscRqLHXphhQhliOqXBYEAdMVTOeCKqZdwVPAUjQdrlRUtHidahJvwLkWCAKjYymboUbaTo
jUV,Hold,language,true,1,IVcpVHWlGYZeywpYxYmEhmTiTJMTuiecWpssYBsGZEZkRxtTpeNdkxrWrJVHUiireqCHIgdLrVGfYUsasTcekOlcYTKht
IterXuA,Assess,datastore,false,3,SZuhcZBEokpQvJlopOKglsIbWsGndMavdQQHrPqNMsRxbGVLvwsdVFYuCBFzRlQ
CAmIPJ,Assess,infrastructure,false,-1,JSFteMEASBBfhHJAzjHnQuddIRXXwPCEiFYGzJFpVc
LbHXrRa,Trial,data management,true,-2,NwpFcczJeMfgIQhlhuLqgTScapxmuxBrAnVTrCQzGQIcpxoPtuVNnhRcj
vNdjmWqEJlSGqE,Assess,language,false,3,VPHvTThJwlUPHqKuslXTzOlAKGaqaFEgcSXLYTXXuEuyvBOSSMGpfgJTLrgZBgHeUcQUrSFxtNJZVZjpdjjdWlfcXzdVHZofSROvZWdhyOvyeiaWRZNZODjUQfpBK
vFeH,Trial,infrastructure,true,-3,ICihzKQEBVWckyCUaeZrEfqqtPYktIiKPqezJjPbqEtcYSTwjPNuPMnpfwuctumSroFtoKxoWRoCFMEguFeJzSkkFlMIPilNCszitJpMdyjIsau
HQMyxkE,Adopt,data management,false,1,nYYRNQRMqyjZXwRQtFdvNFdxTSqzQWmoqgkNHEZTPrqxZvCPNacIoVTZHAtcJT
BVOAxWb,Adopt,language,false,-2,EkcdfjzwQptOOURIOCEJzdxEntLSypTahQYLJcCPcZJbHEPfNCIfCHQuEAMAXoY
RhaoSwc,Hold,infrastructure,true,-1,UlTSVYzCnVfpClXQENXoMIRmipZAXGqQcSagqQUjwCvNjYjNajXqBLPyaghMKY
aTXnky,Hold,data management,true,-1,rmgurtLOIRFgIchiefVYzrEiYruKzdVoCGZZTTFRdGA
CHzXFy,Hold,language,true,1,nWlAWOmdvPQhXGdwHdUpbRfJggjv
JjlFUy,Adopt,data management,true,-3,nehgRElQDgproXPinoQIpaqdpSzmiWPxJXzkPyqBAIavmLbVkEDMlecryLVSHqofJCqRTLnFEmdcONAcZhDjKl
PMotN,Hold,language,false,-1,eEIIVBtOMlbWfpeNdYZEQkvRiuVuEgmEThpQAvpoVswXlGIDvcryRPCRRFB
mgImanDFn,Hold,data management,false,-1,NaPyoWMRWsuaCVWQIWXoLbXaqWfHweXOu
dfxNMP,Hold,datastore,false,-2,ZFLPzoTdoTZwIZetcUKdyMWoYabkMkiwuOsKQpASmdqMBzbmjkqHRUdHdgeTysEyppeaVIeDejWHRBGgkiTLwZotagJoLAks
brhbUSLXzjqMPu,Trial,data management,true,3,lvWSsxfSEKxyGvxfpwFikVArPvejcrRZWggKlDcRJkJtqzHuKRwwbydEjEvXppPkOWJaxTFyJOOLXELaxzCedAqC
MUUKiXcuzYggK,Assess,data management,false,-1,XjEDzsJhcPHhCweFsJqOtPKYtlhpGXl
pRpQhnEjSHiwiNK,Hold,language,true,2,AdboKBsCtzMhgZmVVJXmjoqcBnjMxqMyDrxSKPphqoHNNyabjRssMuuULIdqGUcVNgmQPYpyFEWBUIIqVlkBjIResOqrYnkC
EoPayRXdjKmsOmM,Adopt,language,false,3,YBEFNmTlPqLelXVCYxUVUDYycBSoTpRshuswniyfGALv
PcyGCCGcxCAHY,Trial,language,false,3,QgvBxIEVrGzepEoXHiiarjjWFcyYerEZmdVszcwHMwzJcrIVlCdZsxUTVmosXKjenkNaNZnTEeaCjgsuWbpwpT
qGRsqcRCXPmKP,Hold,data management,true,-2,GESIspjPexMlRtiAQxuctUzvYwOVIXIMRkMRxsBgkWzkrZPnjrbUcHyExEJmikLVEQxFNoUuYtAKGxXBQKlugDxLustbWpxivMXiSSRyR
glqfeBHDB,Assess,data management,true,-2,nffXAAFAEvdiQGsUHGxthncdCGXLhnUGMoIfVepEZANOComCcosYwuQcCXVurSnYotpUFKOYZPTShsXLisUFauCFEdFWxCIyhXZAEfZZclsvvqvXvNfSAbstkjpZoTXjFCprYOdZ
